Average movie budget:,17226155.47037037
Average box office:,158486563.04761904
Year,Winning Film,Budget,Box Office,Formatted Budget,Formatted Box Office
1928,Wings,2 million,N/A,2000000.0,None
1929,The Broadway Melody,N/A,$3 million,None,3000000.0
1930,All Quiet on the Western Front,$1.2 million,$1.5 million (US),1200000.0,1500000.0
1931,Cimarron,"$1,433,000","$1,383,000",1433000.0,1383000.0
1932,Grand Hotel,"$750,000","$2,250,000",750000.0,2250000.0
1933,Cavalcade,"$1,180,280",$3.5 million,1180280.0,3500000.0
1934,It Happened One Night,"$325,000","$2,500,000",325000.0,2500000.0
1935,Mutiny on the Bounty,"$1,950,000","$4,460,000",1950000.0,4460000.0
1936,The Great Ziegfeld,$2.183 million,"$4,673,000",2183000.0,4673000.0
1937,The Life of Emile Zola,N/A,N/A,None,None
1938,You Can't Take It With You,"US$1,644,736 ","US$2,137,575 ",1644736.0,2137575.0
1939,Gone with the Wind,$3.85 million,$390 million,3850000.0,390000000.0
1940,Rebecca,"$1,288,000","$6,000,000",1288000.0,6000000.0
1941,How Green Was My Valley,"$800,000","$6,000,000",800000.0,6000000.0
1942,Mrs. Miniver,$1.34 million,"$8,878,000",1340000.0,8878000.0
1943,Casablanca,"$878,000",$3.7 million,878000.0,3700000.0
1944,Going My Way,N/A,$6.5 million (est. US/ Canada rentals),None,6500000.0
1945,The Lost Weekend,$1.25 million,"$11,000,000",1250000.0,11000000.0
1946,The Best Years of Our Lives,$2.1 million,"$23,650,000",2100000.0,23650000.0
1947,Gentleman's Agreement,"$1,985,000","$7,800,000",1985000.0,7800000.0
1948,Hamlet,"£527,530","$3,250,000",828222.1,3250000.0
1949,All the King's Men,N/A,$2.4 million (US rentals),None,2400000.0
1950,All About Eve,$1.4 million,"$8,400,000",1400000.0,8400000.0
1951,An American in Paris,"$2,724,000","$6,981,000",2724000.0,6981000.0
1952,The Greatest Show on Earth,N/A,$12.8 million (US / Canada rentals),None,12800000.0
1953,From Here to Eternity,"$1,650,000","$30,500,000",1650000.0,30500000.0
1954,On the Waterfront,"$910,000","$9,600,000",910000.0,9600000.0
1955,Marty,"$350,000","$2,000,000 (US/ Canada rentals)",350000.0,2000000.0
1956,Around the World in 80 Days,$6 million,$42 million,6000000.0,42000000.0
1957,The Bridge on the River Kwai,"$2,840,000.",$30.6 million (first release),2840000.0,30600000.0
1958,Gigi,"$3,319,355","$13,208,725",3319355.0,13208725.0
1959,Ben-Hur,$15.2 million,$146.9 million (initial release),15200000.0,146900000.0
1960,The Apartment,$3 million,"$24,600,000",3000000.0,24600000.0
1961,West Side Story,$6 million,"$43,700,000",6000000.0,43700000.0
1962,Lawrence of Arabia,$15 million,$70 million,15000000.0,70000000.0
1963,Tom Jones,"$1 million or £467,000","$37,600,000",1570000.0,37600000.0
1964,My Fair Lady,$17 million,"$72,000,000",17000000.0,72000000.0
1965,The Sound of Music,$8.2 million,"$286,214,286",8200000.0,286214286.0
1966,A Man for All Seasons,$2 million,$28.4 million,2000000.0,28400000.0
1967,In the Heat of the Night,$2 million,"$24,379,978",2000000.0,24379978.0
1968,Oliver!,$10 million,"$77,402,877",10000000.0,77402877.0
